supply_name,region_name,supply_type,area,application_schedule,special_supply_conditions
"241213강릉교동,철원철원행복주택입주자공고문(안)",강원특별자치도 강릉시 강릉대로313번길 29(포남동),행복주택,21.85,2025.01.10,['청년']
"광주선운2A-1,A-3BL신혼희망타운행복주택입주자격완화추가모집공고문('24.12.20.)",광주광역시 광산구 운수동 광주선운2 공공주택지구내 A-1BL,행복주택,55.57,2025.01.07,['신혼']
(241220)과천지식정보타운_S11BL_행복주택(리츠)_입주자_모집_공고문,경기도 과천시 갈현동 593-1,행복주택,16.8,2025.01.08,"['신혼', '청년']"
241216경북서부지역국민임대예비입주자모집공고문,"경상북도 구미시 인동54길 25(구평동,휴먼시아)",국민임대,36.55,2025.01.06,[]
청년매입(경남본부_주거복지사업2부) 입주자 모집 공고문,,매입임대,,2025.01.08,['청년']
기숙사형매입임대_경남 주거2부 입주자 모집 공고문,,매입임대,,2025.01.08,['청년']
24년4차_청년매입임대_입주자모집공고문(부산광역시),"부산광역시 금정구, 남구, 부산진구, 북구, 사상구, 사하구, 서구, 수영구, 해운대구",매입임대,,2025.01.08,['청년']
[충북지역본부]청년매입임대주택예비입주자모집공고(241226),"충청북도 청주시[상당구,서원구,청원구,흥덕구]",매입임대,,2025.01.08,['청년']
[충북지역본부]신혼·신생아매입임대주택Ⅰ예비입주자모집공고(241226),"충청북도 [청주시 상당구,서원구,청원구,흥덕구,충주시]_단 한개의 주택군만 신청가능",매입임대,,2025.01.08,"['신혼', '신생아']"
[충북지역본부]신혼·신생아매입임대주택Ⅱ(전세형)예비입주자모집공고(241226),"충청북도[청주시 상당구,서원구,흥덕구,충주시,제천시]_단 한개의 주택군만 신청 가능",매입임대,,2025.01.08,"['신혼', '신생아']"
24년4차_기숙사형매입임대_입주자모집공고문(부산광역시),"부산 금정구, 부산진구",매입임대,,2025.01.08,['청년']
사천용현국민임대주택예비자입주자모집공고문('24.12.16.),경상남도 사천시 용현면 진삼로 580(용현휴먼시아),국민임대,36.52,2025.01.07,['신혼']
24년4차_신혼·신생아매입임대Ⅰ_입주자모집공고문(부산광역시),"부산 금정구, 남구, 동구, 동래구, 부산진구, 사상구, 사하구, 서구, 수영구, 연제구, 해운대구",매입임대,,2025.01.08,"['신혼', '신생아']"
24년4차_신혼·신생아매입임대Ⅱ(전세형)_입주자모집공고문(부산광역시),"부산 동래구, 부산진구, 북구, 사상구, 사하구",매입임대,,2025.01.08,"['신혼', '신생아']"
1.24년4차신혼·신생아매입임대Ⅱ(전세형)예비입주자모집공고문(경기북부),"[경기도] 고양시, 김포시",매입임대,,2025.01.08,"['신혼', '신생아']"
2.24년4차신혼·신생아매입임대Ⅰ예비입주자모집공고문(경기북부),"[경기도] 고양시, 김포시, 양주시, 의정부시, 파주시, 포천시, 하남시",매입임대,,2025.01.08,"['신혼', '신생아']"
20241226함양군다자녀예비입주자모집공고문,,매입임대,,2025.01.17,['다자녀']
2.24년4차청년매입임대예비입주자모집공고문(경기북부),"[경기도] 고양시, 구리시, 김포시, 의정부시, 파주시",매입임대,,2025.01.08,"['신혼', '청년']"
2.24년4차기숙사형청년주택예비입주자모집공고문(경기북부),[경기도] 구리시(여성전용 1호),매입임대,,2025.01.08,['청년']
24년12월 기숙사형매입임대 예비입주자 모집공고,,매입임대,,2025.01.08,['청년']
(강원)24년4차신혼신생아매입임대2(전세형)공고문,,매입임대,,2025.01.08,"['신혼', '신생아']"
(강원) 24년 4차 신혼신생아매입1 입주자 모집 공고문,,매입임대,,2025.01.08,"['신혼', '신생아']"
창원시국민임대주택예비입주자모집공고_24.12.16_게시용,경상남도 창원시 진해구 냉천로 192(자은동),국민임대,26.83,2025.01.08,[]
(공고문)24-2차경기남부지역본부다자녀매입임대주택예비입주자모집공고,경기 안산·시흥,매입임대,,2025.01.08,"['다자녀', '신생아']"
(강원) 24년 4차 청년매입임대 입주자 모집 공고문,,매입임대,,2025.01.08,['청년']
(공고문)24-2차경기남부지역본부기숙사형청년주택모집공고문,,매입임대,,2025.01.08,['청년']
24년_4차_신혼신생아매입임대주택Ⅱ_공고문_(광주전남),,매입임대,,2025.01.08,"['신혼', '신생아']"
24년_4차_청년매입임대주택_공고문_(광주전남),,매입임대,,2025.01.08,['청년']
24년_4차_신혼신생아Ⅰ매입임대주택_공고문_광주전남),,매입임대,,2025.01.08,"['신혼', '신생아']"
2412_24년신혼·신생아매입임대Ⅰ_표준입주자모집공고문,,매입임대,,2025.01.08,"['신혼', '신생아']"
2412_24년신혼·신생아매입임대Ⅱ(전세형)_표준입주자모집공고문,,매입임대,,2025.01.08,"['신혼', '신생아']"
2412_24년청년매입임대_표준입주자모집공고문,,매입임대,,2025.01.08,['청년']
24년 4차 대구경북 신혼ㆍ신생아Ⅰ매입임대 입주자 모집 공고문,,매입임대,,2025.01.08,"['신혼', '신생아']"
밀양내이국민임대주택예비입주자모집공고_24.12.16_게시용,"경상남도 밀양시 창밀로 3535(내이동,밀양내이엘에이치아파트) 3535 (밀양내이 LH아파트)",국민임대,36.88,2025.01.08,[]
24년 4차 신혼ㆍ신생아Ⅱ_전세형 입주자 모집 공고문,,매입임대,,2025.01.08,"['신혼', '신생아']"
24년 4차 기숙사형 청년주택 입주자 모집 공고문,,매입임대,,2025.01.08,['청년']
24년 4차 대구경북 청년매입임대 모집 공고문,,매입임대,,2025.01.08,['청년']
함안칠원국민임대주택예비입주자모집공고_24.12.16_게시용,경상남도 함안군 칠원읍 구성길 141(함안칠원엘에이치아파트),국민임대,36.5,2025.01.08,[]
"경주시,영천시,포항시_국민임대주택_예비입주자_모집_공고(2024.12.16)",경상북도 경주시 건천읍 대곡용명길 27(건천휴먼시아),국민임대,33.48,2025.01.07,[]
(최종)대전광역시유성구국민임대주택예비입주자모집공고문(공고일2024.12.16),"대전광역시 유성구 원신흥로 37(원신흥동,도안휴먼시아10단지)",국민임대,33.82,2025.01.08,[]
(정정)청주시_국민임대모집공고문(예비입주자),"충청북도 청주시 상당구 호미로 60(용암동,청주동남엘에이치3단지)",국민임대,29.67,2025.01.06,[]
◎24.12월부산광역시국민임대예비입주자모집공고문_공고용,"부산광역시 북구 화명신도시로 255(금곡동,율리마을주공아파트)",국민임대,51.49,2024.12.26,[]
